WL,Date,Borehole,,
146.905,9/1/2021,GW025245.1.1,,
146.904,10/1/2021,GW025245.1.1,,
146.903,11/1/2021,GW025245.1.1,,
146.901,12/1/2021,GW025245.1.1,,
146.897,1/1/2022,GW025245.1.1,,
146.89,2/1/2022,GW025245.1.1,,
146.885,3/1/2022,GW025245.1.1,,
146.882,4/1/2022,GW025245.1.1,,
146.88,5/1/2022,GW025245.1.1,,
132.294,2/1/2010,GW025245.3.3,,
133.111,3/1/2010,GW025245.3.3,,
133.88,4/1/2010,GW025245.3.3,,
134.424,5/1/2010,GW025245.3.3,,
134.725,6/1/2010,GW025245.3.3,,
135.019,7/1/2010,GW025245.3.3,,
135.293,8/1/2010,GW025245.3.3,,
135.747,9/1/2010,GW025245.3.3,,
135.752,10/1/2010,GW025245.3.3,,
135.802,11/1/2010,GW025245.3.3,,
136.214,12/1/2010,GW025245.3.3,,
135.969,1/1/2011,GW025245.3.3,,
134.202,2/1/2011,GW025245.3.3,,
133.723,3/1/2011,GW025245.3.3,,
134.813,4/1/2011,GW025245.3.3,,
135.682,5/1/2011,GW025245.3.3,,
136.309,6/1/2011,GW025245.3.3,,
136.771,7/1/2011,GW025245.3.3,,
136.358,8/1/2011,GW025245.3.3,,
134.736,9/1/2011,GW025245.3.3,,
134.411,10/1/2011,GW025245.3.3,,
135.032,11/1/2011,GW025245.3.3,,
136.087,12/1/2011,GW025245.3.3,,
136.611,1/1/2012,GW025245.3.3,,
136.958,2/1/2012,GW025245.3.3,,
137.48,3/1/2012,GW025245.3.3,,
137.879,4/1/2012,GW025245.3.3,,
138.129,5/1/2012,GW025245.3.3,,
137.895,6/1/2012,GW025245.3.3,,
137.448,7/1/2012,GW025245.3.3,,
137.335,8/1/2012,GW025245.3.3,,
136.888,9/1/2012,GW025245.3.3,,
135.472,10/1/2012,GW025245.3.3,,
135.046,11/1/2012,GW025245.3.3,,
134.142,12/1/2012,GW025245.3.3,,
131.97,1/1/2013,GW025245.3.3,,
130.294,2/1/2013,GW025245.3.3,,
130.953,3/1/2013,GW025245.3.3,,
132.946,4/1/2013,GW025245.3.3,,
134.229,5/1/2013,GW025245.3.3,,
134.943,6/1/2013,GW025245.3.3,,
134.735,7/1/2013,GW025245.3.3,,
