Borehole,Elevation(m) -AHD,Lat,Lon,GW-AHD(12/06/22),"Total_Thickness (m)",num_Lithology_type,total_layer,nl_soil,tn_soil,nl_clay,tn_clay,nl_gravel,tn_gravel,nl_sand,tn_sand,nl_shale,tn_shale,nl_topsoil,tn_topsoil,nl_sandy_clay,tn_sandy_clay,nl_sandstone,tn_sandstone,nl_ironstone,tn_ironstone,nl_rock,tn_rock,nl_bedrock,tn_bedrock,nl_boulders,tn_boulders,nl_slate,tn_slate,nl_basalt,tn_basalt,nl_conglomerate,tn_conglomerate,nl_calcarenite,tn_calcarenite,nl_clayey_sand,tn_clayey_sand,nl_loam,tn_loam,nl_siltstone,tn_siltstone,nl_granite,tn_granite,nl_sandy_clay_with_gravel,tn_sandy_clay_with_gravel,nl_coal,tn_coal,nl_claystone,tn_claystone,nl_volcanic,tn_volcanic,nl_silt,tn_slit,nl_colluvium,tn_colluvium,nl_rhyolite,tn_rhyolite,nl_tuff,tn_tuff,nl_alluvium,tn_alluvium,nl_sandy_shale,tn_sandy_shale,nl_mudstone,tn_mudstone,nl_silty_clay,tn_silty_clay,nl_unknown,tn_unknown
GW099028,255.57,30.82366667,150.206,244.1590,152,4,29,,,14,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,,,,,,,,,,,,,,,,,,,11,66,,,,,,,1,1
GW099029,280.69,31.18975,150.43775,262.8190,122,3,24,,,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44,,,,,,,,,,,,,,,,,,,13,49,,,,,,,,
GW099030,357.93,31.42616667,150.63775,351.4920,32,3,11,,,1,7,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19,,,,,,,,
GW099031,357.94,31.42863889,150.63780556,3573.4930,67,5,11,1,1,1,5,,,,,,,,,,,1,4,,,,,,,,,,,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,,,,,,,,
GW099032,0,30.30836111,149.58386111,NA,176,3,15,,,8,85.5,,,,,,,,,1,5.5,6,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW099033,0,30.66452778,149.2795,NA,269,6,28,,,,,,,,,4,88,,,1,2,16,155,5,17,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GW099034,0,30.66441667,149.27938889,NA,72,5,9,,,,,,,,,1,6,,,1,2,5,58,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,107,,,,,,
GW099035,0,30.64755556,149.82722222,NA,503,5,33,,,,,,,1,9,15,249,,,,,12,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,4,115,,,,,,
GW099036,0,30.64755556,149.82722222,NA,366,5,30,,,,,,,,,16,216,,,,,7,62,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,1,8,,,,,,,,,,,,,4,73,,,,,,
GW099037,0,30.64755556,149.82722222,NA,98,3,10,,,,,,,,,,,,,,,6,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,1,49,,,,,,
GW099038,0,30.36805556,149.83852778,NA,194,4,14,,,2,9,4,26,7,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW099039,0,30.36797222,149.83861111,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW099040,0,30.53258333,149.82594444,NA,408,8,26,,,1,7,,,,,11,264,,,,,9,109,,,,,,,,,,,,,1,7,,,,,,,1,3,,,,,1,3,1,6,,,,,,,,,,,,,,,1,9,,,,
GW099041,0,30.5325,149.82591667,NA,169,5,18,,,,,,,,,1,32,,,,,12,119,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,1,8,,,,
GW099042,0,30.53252778,149.82597222,NA,635,6,45,,,,,,,,,26,488,,,,,11,118,,,,,,,,,,,,,,,,,,,,,5,20,,,,,1,3,1,3,,,,,,,,,,,,,,,1,3,,,,
GW099043,0,30.92877778,149.71311111,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW099044,0,30.92880556,149.71325,275.6360,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW099045,0,30.92877778,149.71305556,280.7560,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW273033,393,31.12997222,150.98602778,384.8360,17,4,4,,,,,1,5.8,,,,,1,3,1,7,,,,,,,,,,,,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW273307,311.06,31.39288889,150.30902778,NA,257,4,10,1,2,4,53,,,,,,,,,,,2,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,,,,
GW273308,341.19,31.41988889,150.22761111,317.2850,130.4,4,7,,,2,6,,,,,,,1,0.5,,,1,10.5,,,,,,,,,,,3,113.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW965569,351.07,31.00977778,150.20247222,339.8150,30,4,12,,,,,,,,,1,1,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,,,1,1
